VM: 4.1943e+06; RSS: 5.62945e+14
VM: 1.37438e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.37436e+11; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
VM: 1.80144e+16; RSS: 5.62938e+14
